game_id,club_id,own_goals,own_position,own_manager_name,opponent_id,opponent_goals,opponent_position,opponent_manager_name,hosting,is_win
2725483,862,0,8.0,Rolando Maran,430,1,10.0,Paulo Sousa,Away,0
2726522,430,2,10.0,Paulo Sousa,410,2,11.0,Giuseppe Iachini,Away,0
2726523,1038,1,17.0,Marco Giampaolo,1390,2,13.0,Massimo Rastelli,Away,0
2726532,12,1,5.0,Luciano Spalletti,416,3,11.0,Siniša Mihajlović,Away,0
2726558,506,0,1.0,Massimiliano Allegri,5,1,3.0,Vincenzo Montella,Away,0
2726593,12,1,2.0,Luciano Spalletti,800,2,5.0,Gian Piero Gasperini,Away,0
2726649,2921,1,19.0,Massimo Oddo,458,1,18.0,Eugenio Corini,Away,0
2726668,506,1,1.0,Massimiliano Allegri,430,2,8.0,Paulo Sousa,Away,0
2726669,5,2,5.0,Vincenzo Montella,416,2,9.0,Siniša Mihajlović,Away,0
2726696,46,0,5.0,Stefano Pioli,506,1,1.0,Massimiliano Allegri,Away,0
2726758,398,0,4.0,Simone Inzaghi,1390,0,14.0,Massimo Rastelli,Away,0
2726775,252,0,16.0,Andrea Mandorlini,410,3,11.0,Luigi Delneri,Away,0
2726787,749,2,17.0,Giovanni Martusciello,430,1,8.0,Paulo Sousa,Away,1
2726812,410,0,11.0,Luigi Delneri,1025,4,15.0,Roberto Donadoni,Away,0
2726832,410,0,11.0,Luigi Delneri,4083,1,18.0,Davide Nicola,Away,0
2747355,2921,0,,Massimo Oddo,800,3,,Gian Piero Gasperini,Away,0
2747453,1390,0,,Massimo Rastelli,1038,3,,Marco Giampaolo,Away,0
2800309,1038,0,,Marco Giampaolo,12,4,,Luciano Spalletti,Away,0
2897178,6574,1,17.0,Cristian Bucchi,800,2,12.0,Gian Piero Gasperini,Away,0
2897181,4083,0,18.0,Davide Nicola,1390,1,13.0,Massimo Rastelli,Away,0
2897183,2722,0,9.0,Leonardo Semplici,46,2,3.0,Luciano Spalletti,Away,0
2897190,1025,1,11.0,Roberto Donadoni,430,2,9.0,Stefano Pioli,Away,0
2897195,506,3,2.0,Massimiliano Allegri,6574,1,17.0,Cristian Bucchi,Away,1
2897209,4171,0,20.0,Marco Baroni,4083,2,16.0,Davide Nicola,Away,0
