game_id,competition_id,season,round,date,home_club_id,away_club_id,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,url,home_club_formation,away_club_formation,home_club_name,away_club_name,aggregate,competition_type
4103638,IT1,2023,17. Matchday,2023-12-23,12,6195,2,0,6.0,7.0,José Mourinho,Walter Mazzarri,Olimpico di Roma,62141.0,Andrea Colombo,https://www.transfermarkt.co.uk/as-roma_ssc-napoli/index/spielbericht/4103638,3-5-2 flat,4-3-3 Attacking,Associazione Sportiva Roma,Società Sportiva Calcio Napoli,2:0,domestic_league
4103644,IT1,2023,18. Matchday,2023-12-29,430,416,1,0,4.0,10.0,Vincenzo Italiano,Ivan Juric,Artemio Franchi,32915.0,Federico La Penna,https://www.transfermarkt.co.uk/acf-fiorentina_torino-fc/index/spielbericht/4103644,4-2-3-1,3-4-1-2,Associazione Calcio Fiorentina,Torino Calcio,1:0,domestic_league
4103655,IT1,2023,19. Matchday,2024-01-06,46,276,2,1,1.0,18.0,Simone Inzaghi,Marco Baroni,Giuseppe Meazza,71691.0,Michael Fabbri,https://www.transfermarkt.co.uk/inter-milan_hellas-verona/index/spielbericht/4103655,3-5-2 flat,4-2-3-1,Football Club Internazionale Milano S.p.A.,Verona Hellas Football Club,2:1,domestic_league
4103692,IT1,2023,23. Matchday,2024-02-04,800,398,3,1,5.0,8.0,Gian Piero Gasperini,Maurizio Sarri,Gewiss Stadium,14492.0,Marco Guida,https://www.transfermarkt.co.uk/atalanta-bc_ss-lazio/index/spielbericht/4103692,3-4-1-2,4-3-3 Attacking,Atalanta Bergamasca Calcio S.p.a.,Società Sportiva Lazio S.p.A.,3:1,domestic_league
4103698,IT1,2023,23. Matchday,2024-02-04,6195,276,2,1,7.0,17.0,Walter Mazzarri,Marco Baroni,Diego Armando Maradona,44000.0,Marco Piccinini,https://www.transfermarkt.co.uk/ssc-napoli_hellas-verona/index/spielbericht/4103698,4-3-3 Attacking,4-2-3-1,Società Sportiva Calcio Napoli,Verona Hellas Football Club,2:1,domestic_league
4103737,IT1,2023,27. Matchday,2024-03-01,398,5,0,1,9.0,3.0,Maurizio Sarri,Stefano Pioli,Olimpico di Roma,50500.0,Marco Di Bello,https://www.transfermarkt.co.uk/ss-lazio_ac-milan/index/spielbericht/4103737,4-3-3 Attacking,4-2-3-1,Società Sportiva Lazio S.p.A.,Associazione Calcio Milan,0:1,domestic_league
4103740,IT1,2023,27. Matchday,2024-03-02,416,430,0,0,10.0,8.0,Ivan Juric,Vincenzo Italiano,Olimpico Grande Torino,22845.0,Matteo Marchetti,https://www.transfermarkt.co.uk/torino-fc_acf-fiorentina/index/spielbericht/4103740,3-4-1-2,4-2-3-1,Torino Calcio,Associazione Calcio Fiorentina,0:0,domestic_league
2977436,CIT,2017,Round of 16,2017-12-20,506,252,2,0,,,Massimiliano Allegri,Davide Ballardini,Allianz Stadium,39969.0,Fabio Maresca,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/2977436,4-3-3 Attacking,3-5-2 flat,Juventus Football Club,Genoa Cricket and Football Club,2:0,domestic_cup
3080926,IT1,2018,3. Matchday,2018-09-02,398,8970,1,0,16.0,19.0,Simone Inzaghi,Moreno Longo,Olimpico di Roma,34465.0,Gianpaolo Calvarese,https://www.transfermarkt.co.uk/ss-lazio_frosinone-calcio/index/spielbericht/3080926,3-5-2 flat,5-3-2,Società Sportiva Lazio S.p.A.,Frosinone Calcio,1:0,domestic_league
3080993,IT1,2018,7. Matchday,2018-09-29,12,398,3,1,10.0,6.0,Eusebio Di Francesco,Simone Inzaghi,Olimpico di Roma,47600.0,Gianluca Rocchi,https://www.transfermarkt.co.uk/as-roma_ss-lazio/index/spielbericht/3080993,4-2-3-1,3-5-2 flat,Associazione Sportiva Roma,Società Sportiva Lazio S.p.A.,3:1,domestic_league
3081247,IT1,2018,22. Matchday,2019-02-03,12,5,1,1,5.0,4.0,Eusebio Di Francesco,Gennaro Gattuso,Olimpico di Roma,37581.0,Fabio Maresca,https://www.transfermarkt.co.uk/as-roma_ac-milan/index/spielbericht/3081247,4-2-3-1,4-1-4-1,Associazione Sportiva Roma,Associazione Calcio Milan,1:1,domestic_league
3081385,IT1,2018,36. Matchday,2019-05-12,12,506,2,0,6.0,1.0,Claudio Ranieri,Massimiliano Allegri,Olimpico di Roma,50815.0,Davide Massa,https://www.transfermarkt.co.uk/as-roma_juventus-fc/index/spielbericht/3081385,4-3-3 Attacking,4-3-3 Attacking,Associazione Sportiva Roma,Juventus Football Club,2:0,domestic_league
3229246,IT1,2019,9. Matchday,2019-10-27,800,410,7,1,3.0,13.0,Gian Piero Gasperini,Igor Tudor,Gewiss Stadium,18677.0,Fabio Maresca,https://www.transfermarkt.co.uk/atalanta-bc_udinese-calcio/index/spielbericht/3229246,3-4-1-2,3-5-2 flat,Atalanta Bergamasca Calcio S.p.a.,Udinese Calcio,7:1,domestic_league
3433307,IT1,2020,13. Matchday,2020-12-20,1390,410,1,1,14.0,11.0,Eusebio Di Francesco,Luca Gotti,Unipol Domus,,Marco Piccinini,https://www.transfermarkt.co.uk/cagliari-calcio_udinese-calcio/index/spielbericht/3433307,4-2-3-1,3-5-2 flat,Cagliari Calcio,Udinese Calcio,1:1,domestic_league
3433310,IT1,2020,13. Matchday,2020-12-20,398,6195,2,0,8.0,4.0,Simone Inzaghi,Gennaro Gattuso,Olimpico di Roma,,Daniele Orsato,https://www.transfermarkt.co.uk/ss-lazio_ssc-napoli/index/spielbericht/3433310,3-5-2 flat,4-2-3-1,Società Sportiva Lazio S.p.A.,Società Sportiva Calcio Napoli,2:0,domestic_league
3614553,IT1,2021,4. Matchday,2021-09-19,276,12,3,2,15.0,4.0,Igor Tudor,José Mourinho,Marcantonio Bentegodi,10148.0,Fabio Maresca,https://www.transfermarkt.co.uk/hellas-verona_as-roma/index/spielbericht/3614553,3-4-2-1,4-2-3-1,Verona Hellas Football Club,Associazione Sportiva Roma,3:2,domestic_league
3614556,IT1,2021,4. Matchday,2021-09-19,398,1390,2,2,8.0,19.0,Maurizio Sarri,Walter Mazzarri,Olimpico di Roma,24000.0,Davide Ghersini,https://www.transfermarkt.co.uk/ss-lazio_cagliari-calcio/index/spielbericht/3614556,4-3-3 Attacking,4-4-2 double 6,Società Sportiva Lazio S.p.A.,Cagliari Calcio,2:2,domestic_league
3614589,IT1,2021,7. Matchday,2021-10-02,380,252,1,0,18.0,16.0,Fabrizio Castori,Davide Ballardini,Arechi,10077.0,Maurizio Mariani,https://www.transfermarkt.co.uk/us-salernitana-1919_genoa-cfc/index/spielbericht/3614589,4-3-1-2,3-5-2 flat,US Salernitana 1919,Genoa Cricket and Football Club,1:0,domestic_league
3614695,IT1,2021,16. Matchday,2021-12-05,1038,398,1,3,15.0,7.0,Roberto D'Aversa,Maurizio Sarri,Luigi Ferraris,5883.0,Michael Fabbri,https://www.transfermarkt.co.uk/uc-sampdoria_ss-lazio/index/spielbericht/3614695,4-4-2 double 6,4-3-3 Attacking,UC Sampdoria,Società Sportiva Lazio S.p.A.,1:3,domestic_league
3614791,IT1,2021,27. Matchday,2022-02-27,276,607,3,1,9.0,18.0,Igor Tudor,Paolo Zanetti,Marcantonio Bentegodi,14298.0,Juan Luca Sacchi,https://www.transfermarkt.co.uk/hellas-verona_venezia-fc/index/spielbericht/3614791,3-4-2-1,3-4-1-2,Verona Hellas Football Club,Venezia Football Club,3:1,domestic_league
3614804,IT1,2021,28. Matchday,2022-03-06,6195,5,0,1,3.0,1.0,Luciano Spalletti,Stefano Pioli,Diego Armando Maradona,41044.0,Daniele Orsato,https://www.transfermarkt.co.uk/ssc-napoli_ac-milan/index/spielbericht/3614804,4-2-3-1,4-2-3-1,Società Sportiva Calcio Napoli,Associazione Calcio Milan,0:1,domestic_league
